episode,timestep,reward,steps,success
430,82828,309.1,190,1
431,82939,277.39,111,1
432,83085,291.54,146,1
433,83260,304.7499,175,1
434,83376,271.84,116,1
435,83461,253.65,85,1
436,83689,335.72,228,1
437,83787,266.0201,98,1
438,83954,313.8299,167,1
439,84140,297.14,186,1
440,84210,255.3,70,1
441,84382,306.28,172,1
442,84448,242.34,66,1
443,84581,284.17,133,1
444,84762,320.6899,181,1
445,84838,255.24,76,1
446,84928,262.1001,90,1
447,84992,248.36,64,1
448,85156,271.3601,164,1
449,85284,288.72,128,1
450,85444,308.3999,160,1
451,85676,316.6799,232,1
452,85878,325.9799,202,1
453,86020,307.58,142,1
454,86116,271.04,96,1
455,86320,312.9599,204,1
456,86398,252.22,78,1
457,86531,287.17,133,1
458,86704,310.77,173,1
459,86829,274.25,125,1
460,86918,270.61,89,1
461,87030,276.88,112,1
462,87203,290.77,173,1
463,87354,304.99,151,1
464,87423,247.81,69,1
465,87551,268.7201,128,1
466,87702,294.9899,151,1
467,87894,326.0799,192,1
468,88073,313.7099,179,1
469,88140,241.83,67,1
470,88259,274.31,119,1
471,88356,273.53,97,1
472,88479,288.27,123,1
473,88669,307.0999,190,1
474,88774,265.4501,105,1
475,88869,263.5501,95,1
476,88945,250.24,76,1
477,89065,276.8,120,1
478,89182,283.33,117,1
479,89317,291.15,135,1
480,89485,310.3199,168,1
481,89614,274.2101,129,1
482,89746,290.68,132,1
483,89921,306.75,175,1
484,90027,271.9401,106,1
485,90118,252.59,91,1
486,90339,341.29,221,1
487,90447,263.9201,108,1
488,90621,309.26,174,1
489,90782,303.89,161,1
490,90868,255.14,86,1
491,91036,302.32,168,1
492,91105,241.81,69,1
493,91257,281.48,152,1
494,91449,321.0799,192,1
495,91524,256.75,75,1
496,91616,261.08,92,1
497,91693,245.73,77,1
498,91810,279.33,117,1
499,91938,293.72,128,1
500,92093,308.95,155,1
501,92284,320.5899,191,1
502,92475,326.5899,191,1
503,92631,304.4399,156,1
504,92725,271.06,94,1
505,92923,322.0199,198,1
506,93000,250.73,77,1
507,93135,285.15,135,1
508,93302,308.8299,167,1
509,93415,277.37,113,1
510,93511,268.0401,96,1
511,93626,277.35,115,1
